RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
7433,Titusville,Florida,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57500,70500,75900,77100,67500,62900,59600,59900,67800,72500,71100,64200,60600,64600,63900,68100,66400,70100,67300,67400,67300,68600,68600,69700,74100,74200,73800,70700,68600,69700,71500,76800,8e4,80400,92800,91900,94700,86800,92800,93500,94200,95700,99e3,100800,98500,102e3,106100,114e3,115300,117300,117300,119500,109600,107700,109800,123200,128500,129300,131900,132900,133400,145e3,141300,155700,146e3,153800,151100,162300,165400,154100,141700,135300
12560,Margate,Florida,519,201900,194800,141300,128100,142800,154100,147500,121900,124100,121800,124900,114700,101600,90100,75600,79e3,77100,77700,75400,69400,77900,73200,69700,72500,80100,82600,71400,65300,64600,62900,68500,73300,77100,71400,65800,63400,63600,63e3,60600,58800,62200,65800,65100,68900,69800,76300,72100,74900,78100,84600,77800,70300,77300,83900,90100,79200,86600,88e3,96400,93900,96900,94400,95100,98600,100600,101600,101600,104400,104200,110100,112200,123700,128e3,13e4,121100,109e3,112200,104800,112500,113100,130900,133100,132e3,140200,145100,151300,140700,137700,136100,139800,141700,137400,134700,135400,143100,147800,146400,148e3,147700,151600,151900,150700,152100,154300,159300,160300,159400,157200,160400,161300,169500,169200,174500,172300,154200,151100,153300,176300,175200,184800,183200,177500,168900,164500,184600
27808,Wayne,New Jersey,520,448800,452800,476e3,471300,459e3,456200,451300,456400,458100,472e3,465e3,415500,383600,372200,389400,375200,383500,387300,414500,408700,419700,418600,413700,402600,411500,432900,448e3,431800,421500,406800,419800,414800,433300,429e3,422700,403500,403e3,414900,415500,410500,394200,381300,378400,389e3,402900,405e3,412800,396300,379400,378300,400300,392100,367700,351500,362500,371800,371400,367900,364600,374100,386800,407600,402500,417400,400200,408200,392e3,399400,395500,393e3,394700,399900,412200,402300,406900,389200,398300,39e4,385800,379800,379300,386200,398100,403100,396700,383500,388700,410300,414e3,409200,408200,408400,415500,411800,413100,408400,387500,387500,373700,390800,397800,410400,411400,408800,407400,409400,403500,396200,391900,408900,417200,413300,396600,392700,410500,410400,414900,415800,418400,414600,405700,407800,414800,409200,
397214,Hamburg,New York,521,125900,123e3,123900,129800,140100,141400,137800,134700,133500,130700,135900,124300,125400,118800,125600,126200,130700,136300,135e3,135700,138100,139400,139100,138700,137900,135e3,132100,131400,139200,140200,143900,142100,149300,146400,145300,134e3,131600,136900,141800,147700,143900,147900,146200,142800,141400,137200,137600,130900,135200,133800,142300,137800,146500,140700,144200,159700,171200,170600,151500,144600,144e3,139600,139500,143100,142800,144500,147e3,147100,144e3,144100,160700,164200,163400,153900,151900,154300,151800,151300,153e3,152900,153800,145800,144200,141500,149600,150300,153300,150600,155900,155900,154800,151400,162700,162800,159200,156300,155700,156500,148600,151e3,152100,151e3,149800,15e4,153500,156700,158100,156600,157600,166e3,165900,166800,165100,164300,165700,166500,176300,183200,177900,173200,171700,178100,178100,169300,173600
15894,Wheaton,Illinois,522,282e3,277500,304300,300500,308100,327300,330300,333100,310200,314500,324200,312100,289600,275e3,272100,287300,283600,295100,280700,273500,272300,272400,272900,271200,281400,281900,272200,269800,284500,313200,308600,333900,306400,305800,278600,267300,291300,275600,284100,263600,270500,286e3,3e5,299500,283e3,263800,263e3,274800,281200,265500,252200,262700,284100,276700,263500,260500,285300,286800,281200,230500,229200,234500,269700,268800,273600,292600,298200,287600,273300,275800,278500,294200,285300,283400,267e3,269500,276700,280600,287900,293500,292900,283600,273400,279900,274300,290500,296500,317600,305400,294600,267e3,272900,274600,293400,297700,295400,302e3,299100,303100,300400,298700,292900,287700,289700,299800,315100,327500,314800,319400,303100,312500,304500,302400,301100,287200,285300,318e3,343200,381500,362500,350500,332100,333100,337600,324300
48210,Valrico,Florida,523,251800,243500,212900,204e3,208900,207300,198400,185200,190900,195800,186300,178e3,173300,176100,169300,166900,163800,160200,157600,159200,165200,166600,167100,179e3,172800,171900,149200,153500,155800,165600,156400,164500,165500,176300,171e3,165e3,157100,138400,129500,127800,139e3,144900,145200,15e4,161500,158200,153400,134400,149500,151600,158200,146100,15e4,153900,162400,162100,164300,161900,169800,175700,184900,179700,171400,166900,177e3,184100,188100,181100,179e3,176100,174300,179600,178300,172e3,168400,168900,176300,174500,172500,176800,181800,190400,185500,184800,181100,191600,199e3,203400,192100,195600,199e3,209700,208200,202200,208100,208e3,219600,217600,218500,217100,215700,218e3,216500,215400,222900,222200,225700,221300,221700,222300,219200,223400,225100,226100,227e3,227400,241400,241100,247200,238300,247800,249600,251300,245600,
20536,Snohomish,Washington,524,395200,357300,350100,353800,373900,369600,354700,345300,360600,391900,407300,406900,410300,395900,385500,356100,348e3,346e3,347400,345900,346100,353500,368100,408200,399300,385900,339300,325e3,315e3,303400,295200,310100,308e3,320100,305800,303800,291200,287300,297600,290700,282400,271900,312900,333500,351500,312e3,320600,297900,308200,296600,316500,319600,319900,305400,313400,316600,342200,373500,366500,356400,320600,323300,324300,324700,336200,345600,355e3,344800,351e3,347800,357500,355100,365400,365800,370100,375700,377e3,368900,369200,373600,380200,380300,375500,386900,394100,406600,402700,402700,404300,389400,394400,403900,438800,443100,444e3,422200,423700,415500,442400,449e3,457300,459500,450400,455500,449400,468600,500400,509400,499300,476300,485600,491300,495100,473100,470800,475300,504100,538400,570600,576400,558600,538100,542600,549500,559800
5411,Kettering,Ohio,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105500,98800,104500,114700,110200,109e3,107600,111900,107100,104900,101800,102200,105100,109800,108400,104100,94400,93100,98200,105e3,111100,116200,121400,118600,112600,113600,107200,108900,106900,110400,110900,110400,114e3,113e3,116200,118500,115500,108500,98400,102500,110700,124400,124400,125e3,120800,118900,115300,115600,119400,120300,122100,131800,133100,133800,120100,122300,122100,130500,129200,128900,129500,129700,129600,128700,126100,134600,136e3,146500,141800
14603,Weymouth,Massachusetts,526,269900,277900,277300,271200,263200,270400,267600,275600,285800,276400,264200,262900,271600,281700,260700,255700,238500,240400,239700,250300,261800,265200,27e4,261300,278100,281e3,285700,270300,255100,247300,250400,257700,261500,251e3,243100,249800,247100,246100,238e3,236900,244300,241900,246800,246600,246600,247e3,248100,256700,266600,270800,264600,255900,237300,230400,230300,249700,271700,265500,253400,238700,254e3,260200,265800,261600,269500,278e3,282200,279300,281100,277800,281600,280200,303600,306700,309e3,296400,289600,284e3,282e3,285300,290800,297900,285900,292800,283900,288700,281100,283400,296600,301700,303100,315900,308800,309100,291800,299100,304700,310500,315200,314100,312800,310500,313700,321400,326400,329300,336e3,322700,319500,312200,327500,334100,338200,342800,350500,360300,365300,359800,349800,341800,344500,354200,350100,343e3,
31506,Fairfield,Connecticut,527,567300,501800,481600,491e3,538500,585e3,589200,6e5,631700,638100,573500,499100,464900,495800,493700,500900,489500,513e3,517800,537200,544300,517500,497e3,458300,474600,464100,501900,495400,524700,51e4,495300,476800,473100,496e3,475400,479600,480500,522400,520900,522400,485700,486100,515900,562600,543200,487e3,442800,43e4,429300,417400,435100,472100,487e3,513400,508500,528200,536700,540400,490800,432900,438400,454100,486600,468200,471200,485400,495e3,532500,556200,555600,53e4,500400,493600,495300,537200,554200,554e3,512200,494600,536300,534600,574800,537300,535400,503200,510800,518300,496900,505700,516100,554100,560200,591400,602500,613e3,603600,624900,559e3,542700,504700,560100,554600,561e3,555300,552200,542800,539e3,538400,548700,540700,538300,523500,522900,512600,517600,536800,588600,620700,580600,566300,521e3,529200,500800,523800,
