RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
40,New Jersey,11,332700,333300,326900,312100,305100,298300,297900,296200,297500,295300,292e3,291100,295700,293600,289e3,277500,273900,270600,270200,271500,271900,271100,272100,276e3,284600,285200,282300,276100,274900,273100,270800,268900,269600,273e3,274600,278500,278900,279600,275300,270900,269100,264500,263800,260100,259e3,258100,257e3,260600,262900,267700,267200,268100,266500,264600,261e3,260500,262100,262100,262900,264700,265800,266100,266300,267500,268700,271100,273600,275200,272800,273500,275500,277100,280700,279300,280200,276100,277800,277600,276500,273500,273200,274300,275300,276500,278200,279500,279500,279100,278500,275100,274600,274500,278800,276800,276100,275200,278200,275900,274100,272900,276e3,277500,280300,279800,279700,280500,280100,280200,275900,275600,275900,274900,271600,268500,270100,272900,274e3,274200,276800,281600,287400,293800,295100,295300,
56,Virginia,12,252200,249100,240600,235100,232900,233e3,232400,229900,225200,219800,218200,220200,220800,217700,213700,212600,215200,219500,225400,227900,225800,225500,227600,231200,230100,226200,221e3,217400,220900,227800,233400,231700,228800,228200,225600,223100,216500,214e3,209700,209300,213900,218800,223400,218e3,214800,211900,213200,214e3,216300,220600,225400,228400,230800,231700,235100,234700,239600,237500,238600,234e3,234600,234900,237700,243400,245e3,248200,245800,247100,243900,241800,238600,237900,238500,240100,239900,240700,240100,241700,240900,242300,242e3,244700,245600,249300,249700,25e4,249600,248900,249700,247900,247e3,244500,240800,241e3,244200,248100,247900,247100,246300,247200,248300,248700,249e3,249500,251100,251200,252700,256500,256400,257700,254200,256100,257200,257400,256600,253700,255e3,255600,259700,262900,266100,266200,265200,265700,
59,Washington,13,284700,278600,270600,263900,259200,258400,256300,255800,253500,254900,257800,260500,256100,249100,240100,238700,236500,237800,239200,240800,240600,241500,246900,251300,251100,246100,241700,237700,240300,241800,243500,239300,237900,240400,240500,241300,235800,231100,225400,221600,220200,219900,22e4,218900,218e3,219300,219300,218400,215900,219800,223600,229800,230200,231800,233400,236800,240100,243e3,244200,244600,245200,246800,248900,249400,251e3,253100,254400,253700,252700,252e3,252900,254e3,254300,253200,252800,254100,256500,257700,259400,260600,260400,260500,262e3,266600,268600,271100,272800,274e3,273100,271800,272700,276e3,278600,282700,284500,285300,285800,286400,289200,291e3,293700,296300,297600,299400,302500,306e3,311800,313400,315400,315e3,316600,319700,320400,321200,322600,326500,331800,336e3,339200,345700,350700,355500,354800,352100,344900
26,Massachusetts,14,313500,309100,299200,294700,290800,289200,285700,284800,276800,271600,263e3,266e3,264500,267100,264500,267700,271200,275700,277800,278100,273200,277900,281800,292400,291e3,291400,284800,287100,288600,295700,294200,292500,289700,288700,280700,271500,263900,266700,274500,284500,290200,290800,288800,284200,278300,274e3,272800,276700,279200,284300,286700,293e3,295300,293800,290500,287500,289100,290700,288100,295400,296e3,307100,306e3,312100,312900,315300,316300,316700,312300,310800,311600,319400,322300,322e3,321300,320700,321900,319800,318100,317300,316700,319400,321600,330600,331300,329500,322900,322400,325200,326500,327e3,326900,326500,328300,327500,327600,325700,328500,329100,331500,331300,332600,333500,335500,338600,338800,339700,340800,342500,344600,345600,348400,349e3,348400,350400,353700,358100,358500,357300,366600,368500,374300,369200,373400,
22,Indiana,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117900,118700,119600,122900,123700,124200,122800,121e3,120400,121700,125300,128300,129600,130300,128500,127600,126e3,125800,118400,113e3,109400,112700,115900,119100,121600,122900,125200,127e3,128800,129400,129700,130200,131200,131900,133300,134e3,134600,133300,132e3,130500,132e3,133e3,135700,136600,136400,136e3,135200,135100,135700,136800,138300,139100,138300,138100,140500,142200,143900,142500,142800,142600,142600,143600,143700,145200,146100,147800,150100,150800,153100,152900,155e3,154200,
8,Arizona,16,220200,214700,208700,202600,194900,188300,180700,174500,165900,157600,147800,14e4,133100,128400,125200,125600,128200,131400,133800,134300,136100,135700,135500,134700,135200,136300,134800,133600,130600,128800,127e3,125900,124500,121200,119300,118400,118300,117800,115900,116400,115800,115900,116900,118100,122300,124100,126800,127600,130900,135e3,140900,145100,147600,15e4,150600,153600,155900,160200,161200,162200,163200,166700,169500,172700,174800,176200,176900,177800,179200,180200,180600,180200,180700,180600,181e3,180400,181100,181800,183600,184500,185600,185900,187100,188700,19e4,191600,193600,195900,197100,197e3,197700,199100,200600,204500,206400,207800,206700,208300,210100,212e3,212700,215e3,215500,217e3,217700,219600,221e3,223100,224500,226700,227800,228600,229700,230700,233400,234400,237400,240100,244200,246e3,244800,243100,241e3,241900,242900
53,Tennessee,17,119e3,118900,117900,116800,116300,116e3,115100,113600,110700,107700,107200,109500,111e3,111300,109900,112e3,112400,114100,114200,115600,115900,114900,114300,113e3,114300,114600,115900,114900,111900,110400,109e3,110600,110700,113400,115200,115400,114500,112600,111700,109700,109500,110600,111400,111700,111200,112600,111800,111800,110900,113100,114100,114100,112600,112400,113e3,114700,115700,117500,117500,117900,117600,119100,120700,122100,123200,122800,122800,122200,122900,123100,122300,124e3,125500,127700,127600,128200,129900,130900,131200,132200,133300,135500,135800,136500,137100,137400,138100,138100,139e3,139200,140400,141300,142e3,141500,142700,143400,144500,145e3,146100,147400,148100,150800,152200,156100,156e3,157500,157300,158500,158700,159100,158700,160200,160400,164100,165700,168700,170100,172e3,175600,178100,181200,179500,177600,175200,
32,Missouri,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126900,127900,128500,128300,130400,130500,130200,129900,127400,13e4,129300,134200,134600,137400,139e3,139300,140300,139700,139800,139200,138700,138100,136600,137100,137300,139600,140500,141500,141600,140800,141500,142700,145400,147900,149300,15e4,150300,151400,151300,151700,151100,151600,151400,151700,152500,153400,153500,153800,153400,153800,154100,154400,157e3,157300,158e3,155900,156200,161700,161700,161700,156100,156200,156500,157e3,158800,159800,162100,164500,167500,174400,174300,173700,167900,166700,
27,Maryland,19,272100,269200,265100,258500,253200,253600,253900,255100,254800,251600,252e3,252400,254600,251600,242700,237100,229500,234200,235800,241e3,237500,238600,238700,240300,237800,233300,226400,218600,210600,207200,208200,214900,218e3,217800,222900,229100,228600,221e3,210200,208400,203900,207400,205800,209100,211100,216e3,220300,217300,219700,218800,224200,225600,225600,224800,22e4,226100,228500,231200,231400,225500,226200,223400,229300,232700,240500,243500,242400,237300,238300,239500,241400,240300,243800,242200,244200,242100,243300,242600,244300,244500,244600,244e3,242500,241100,240400,242700,243e3,247300,247900,248e3,246300,246700,247800,249200,248100,251100,250900,254400,254100,254600,255700,256400,256100,260900,261200,262100,259400,262e3,264200,264500,264700,263400,261200,260500,265500,270400,274600,274300,276600,274e3,277700,276100,277300,273400,
60,Wisconsin,20,156500,152700,151500,147900,147700,147e3,147500,147400,147400,146600,145e3,144e3,142300,140200,137800,136300,136300,136600,137900,139300,139300,141500,140900,143300,142600,140500,137400,135200,136300,136900,135900,135400,135400,138100,140700,140800,138700,133700,132600,131800,132800,133300,134200,136100,135800,134900,134400,133200,132300,132200,133100,134700,135700,137800,137800,137900,135600,138800,141900,144500,143600,144e3,144100,146300,146400,148500,148700,147700,147e3,147e3,144300,141300,139900,140800,144100,144e3,146600,147300,149500,146600,147100,148e3,152200,153200,153400,153700,156100,156400,156600,154600,154200,154900,155100,155900,154700,155900,157700,159600,159500,159800,159e3,159400,159700,161600,162800,162900,163400,162700,162700,162200,163800,164600,165500,165500,166100,167600,168400,169200,169100,171e3,171700,172600,172400,174200,
31,Minnesota,21,199400,195700,190600,185100,183700,182600,184200,183200,181900,178500,175900,173800,170800,165700,161600,16e4,161700,164200,167e3,167900,168200,167600,167100,166300,165600,164400,161500,159e3,159500,160700,161100,161400,161400,162900,159e3,158e3,152900,15e4,145100,144700,145700,146700,146800,147500,148200,148600,148600,148300,148100,147700,148700,151600,155400,159100,161300,162700,164200,166200,165e3,163900,162700,164100,165500,168400,172100,175100,176700,178600,179100,179800,178500,180600,180600,181800,180600,181300,182200,184200,184300,184900,186500,189200,192500,197500,202e3,205500,203800,201900,199200,198900,199200,199600,200600,202600,203900,207400,208e3,208700,206700,206400,206900,206600,207800,209800,210700,209400,209200,209900,212200,213300,215200,216e3,216600,216600,217900,219400,221500,222300,226100,230300,232500,232200,230500,231400,
10,Colorado,22,206900,202500,200400,199e3,201200,202900,202600,200300,195100,189600,183500,181900,181300,183800,185e3,189100,193e3,199200,200600,201900,199800,202200,202200,203900,202200,200800,199100,198e3,201200,205400,208700,208500,205900,205600,201400,199900,195800,194400,193600,193300,194300,195100,197400,197800,199100,198e3,198300,195400,196500,200300,208500,214400,217900,219500,221200,224500,225600,226500,225300,224900,224800,227300,229900,233700,235500,236500,237500,237700,237e3,235700,235400,236700,238200,239800,241800,243100,244800,245900,247800,249900,254e3,256100,259600,260300,263300,264700,267400,268200,269400,270300,272100,274500,277100,280100,283800,286500,287600,287200,288100,291200,295100,298500,300300,303200,305200,308400,310800,316200,319e3,322200,321100,323300,322800,326400,328300,332300,334900,341100,344700,348800,349400,352400,353600,353600,351800
